inputDAI,cumulativeDAI,outputFlashSC
100000.0,17400000.0,49421.24574588771333855
100000.0,17500000.0,48924.0501146413945383
100000.0,17600000.0,48434.31988326345781185
100000.0,17700000.0,47951.9063386095856578
100000.0,17800000.0,47476.6644522010854468
100000.0,17900000.0,47008.45277121300337485
100000.0,18000000.0,46547.13331320295852245
100000.0,18100000.0,46092.5714644412895696
100000.0,18200000.0,45644.63588169641515905
100000.0,18300000.0,45203.19839734729246125
100000.0,18400000.0,44768.13392769039745605
100000.0,18500000.0,44339.32038432189415395
100000.0,18600000.0,43916.63858847496294245
100000.0,18700000.0,43499.972188204944321
100000.0,18800000.0,43089.20757830686865595
100000.0,18900000.0,42684.2338228716901491
100000.0,19000000.0,42284.9425803751359504
100000.0,19100000.0,41891.2280312096708319
100000.0,19200000.0,41502.9868075654773942
100000.0,19300000.0,41120.1179255768073354
100000.0,19400000.0,40742.52271964866523805
100000.0,19500000.0,40370.1047788840838127
100000.0,19600000.0,40002.7698855365711676
100000.0,19700000.0,39640.42595541412297095
100000.0,19800000.0,39282.9829801623076317
100000.0,19900000.0,38930.3529713636911464
100000.0,20000000.0,38582.4499063827826275
100000.0,20100000.0,38239.18967589892523625
100000.0,20200000.0,37900.4900330655144273
100000.0,20300000.0,37566.2705442378288207
100000.0,20400000.0,37236.45254121552301815
100000.0,20500000.0,36910.95907494611049525
100000.0,20600000.0,36589.71487063841344305
100000.0,20700000.0,36272.64628423788398865
100000.0,20800000.0,35959.68126021500418735
100000.0,20900000.0,35650.7492906256395886
100000.0,21000000.0,35345.7813753935779161
100000.0,21100000.0,35044.7099837802615921
100000.0,21200000.0,34747.469016996824907
100000.0,21300000.0,34453.9937719206564153
100000.0,21400000.0,34164.22090588288936245
100000.0,21500000.0,33878.0884024833250182
100000.0,21600000.0,33595.53553840936846485
100000.0,21700000.0,33316.50285121311178935
100000.0,21800000.0,33040.93210802704763625
100000.0,21900000.0,32768.76627517673029395
100000.0,22000000.0,32499.9494886698914191
100000.0,22100000.0,32234.42702552715853665
100000.0,22200000.0,31972.14527592984060435
100000.0,22300000.0,31713.0517161571779666
100000.0,22400000.0,31457.09488228991506095
100000.0,22500000.0,31204.22434465092031275
100000.0,22600000.0,30954.3906829643120271
100000.0,22700000.0,30707.5454622071604924
100000.0,22800000.0,30463.64120913160051095
100000.0,22900000.0,30222.63138943909198065
100000.0,23000000.0,29984.47038558215340915
100000.0,23100000.0,29749.1134751772576888
100000.0,23200000.0,29516.51681000783960745
100000.0,23300000.0,29286.63739559971034895
100000.0,23400000.0,29059.43307135131364465
100000.0,23500000.0,28834.86249120195527445
100000.0,23600000.0,28612.8851048184888744
100000.0,23700000.0,28393.46113929069952935
100000.0,23800000.0,28176.5515813129405512
100000.0,23900000.0,27962.11815984170729145
100000.0,24000000.0,27750.1233292136737611
100000.0,24100000.0,27540.5302527091360533
100000.0,24200000.0,27333.3027865487341206
100000.0,24300000.0,27128.40546431076582885
100000.0,24400000.0,26925.8034817541766906
100000.0,24500000.0,26725.462682038860831
100000.0,24600000.0,26527.34954132696251455
100000.0,24700000.0,26331.43115475876549
100000.0,24800000.0,26137.67522278853237115
100000.0,24900000.0,25946.0500378706749395
100000.0,25000000.0,25756.52447148733329195
100000.0,25100000.0,25569.0679615057930152
100000.0,25200000.0,25383.6504998558424579
100000.0,25300000.0,25200.24262052177261745
100000.0,25400000.0,25018.81538783256956235
100000.0,25500000.0,24839.3403850502993901
100000.0,25600000.0,24661.78970324162971605
100000.0,25700000.0,24486.13593042649317285
100000.0,25800000.0,24312.3521409983166225
100000.0,25900000.0,24140.4118854043846701
100000.0,26000000.0,23970.2891800807611813
100000.0,26100000.0,23801.95849763647132035
100000.0,26200000.0,23635.39475727495506805
100000.0,26300000.0,23470.5733154530710345
100000.0,26400000.0,23307.46995676343100675
100000.0,26500000.0,23146.0608850404834537
100000.0,26600000.0,22986.32271468142391145
100000.0,26700000.0,22828.23246217342839465
100000.0,26800000.0,22671.76753782665220405
100000.0,26900000.0,22516.90573770490849815
100000.0,27000000.0,22363.6252357463592192
100000.0,27100000.0,22211.9045760738001512
100000.0,27200000.0,22061.7226654850604033
100000.0,27300000.0,21913.05876612198283665
100000.0,27400000.0,21765.8924883104574324
100000.0,27500000.0,21620.2037835694164891
100000.0,27600000.0,21475.972937781821277
100000.0,27700000.0,21333.1805645252702226
100000.0,27800000.0,21191.8075985576281776
100000.0,27900000.0,21051.8352894522398817
100000.0,28000000.0,20913.24519538077591495
100000.0,28100000.0,20776.0191770382742491
100000.0,28200000.0,20640.13939170786806385
100000.0,28300000.0,20505.5882874593447151
100000.0,28400000.0,20372.3485974823722999
100000.0,28500000.0,20240.4033345454717413
100000.0,28600000.0,20109.73578558115261545
100000.0,28700000.0,19980.32950639470338685
100000.0,28800000.0,19852.1683164884110122
100000.0,28900000.0,19725.2362940044162842
100000.0,29000000.0,19599.5177707795133577
100000.0,29100000.0,19474.9973275088264943
100000.0,29200000.0,19351.65978901933987755
100000.0,29300000.0,19229.4902196442190145
100000.0,29400000.0,19108.473918702384762
100000.0,29500000.0,18988.59641607581197545
100000.0,29600000.0,18869.8434678826010757
100000.0,29700000.0,18752.20105224735601605
100000.0,29800000.0,18635.65536516078301725
100000.0,29900000.0,18520.192816429904145
100000.0,30000000.0,18405.80002571693402565
100000.0,30100000.0,18292.46381866194043935
100000.0,30200000.0,18180.17122309012523535
100000.0,30300000.0,18068.9094652988463087
100000.0,30400000.0,17958.66596642577471285
100000.0,30500000.0,17849.4283388927500176
100000.0,30600000.0,17741.1843829261703571
100000.0,30700000.0,17633.9220831502925742
100000.0,30800000.0,17527.62960525316364625
100000.0,30900000.0,17422.29529272155879865
100000.0,31000000.0,17317.9076636459021583
100000.0,31100000.0,17214.4554075905695011
100000.0,31200000.0,17111.92738253054894565
100000.0,31300000.0,17010.31261185055618455
100000.0,31400000.0,16909.60028140730129055
100000.0,31500000.0,16809.7797366528159858
100000.0,31600000.0,16710.8404798154955954
100000.0,31700000.0,16612.77216714052857465
100000.0,31800000.0,16515.56460618594960885
100000.0,31900000.0,16419.2077531744556931
100000.0,32000000.0,16323.691710398475858
100000.0,32100000.0,16229.00672367933098595
100000.0,32200000.0,16135.1431798753256424
100000.0,32300000.0,16042.0916044436511828
100000.0,32400000.0,15949.84265904717805845
100000.0,32500000.0,15858.3871392132471012
100000.0,32600000.0,15767.7159720363741549
100000.0,32700000.0,15677.82021392918968455
100000.0,32800000.0,15588.69104841492180555
100000.0,32900000.0,15500.31978396811429065
100000.0,33000000.0,15412.69785189368162565
100000.0,33100000.0,15325.81680425071385655
100000.0,33200000.0,15239.66831181517611525
100000.0,33300000.0,15154.24416208526682495
100000.0,33400000.0,15069.53625732246421275
100000.0,33500000.0,14985.53661263272216785
100000.0,33600000.0,14902.23735408558492615
100000.0,33700000.0,14819.63071686787480245
100000.0,33800000.0,14737.70904347446230435
100000.0,33900000.0,14656.4647819337487012
100000.0,34000000.0,14575.89048406716401085
100000.0,34100000.0,14495.97880378170455205
100000.0,34200000.0,14416.7224953957888774
100000.0,34300000.0,14338.11441199675919745
100000.0,34400000.0,14260.14750382919185125
100000.0,34500000.0,14182.8148167152714904
